Date,eindend,vindend
19660629,43.269341,57.930672
19660706,43.875488,59.296341
19660713,43.863152,58.89238
19660720,43.672501,58.406219
19660727,42.66333,57.379292
19660803,42.059631,56.80434
19660810,42.155609,56.982868
19660817,41.377178,55.811432
19660824,40.029282,54.280602
19660831,38.324741,52.75528
19660907,37.797691,52.20134
19660914,39.016819,54.107311
19660921,38.529549,53.152611
19660928,38.269379,52.799629
19661005,36.312069,51.019791
19661012,36.133419,52.327579
19661019,36.919991,53.24287
19661026,37.05162,54.144691
19661102,37.718361,55.132038
19661109,38.14711,55.6292
19661116,39.272968,56.49931
19661123,38.630569,55.217701
19661130,39.010521,55.56451
19661207,39.44471,56.42009
19661214,40.292259,57.19334
19661221,40.302731,56.591579
19661228,40.21714,56.139099
19670104,40.615841,56.060242
19670111,43.07497,58.214199
19670118,44.575569,59.843151
19670125,45.64571,60.072418
19670201,46.775398,60.614399
19670208,48.084209,61.63015
19670215,48.93116,62.164261
19670222,49.07177,61.737991
19670301,49.232399,61.974972
19670308,50.09869,62.56205
19670315,50.802929,63.17812
19670322,51.36298,63.858631
19670329,51.752991,64.288773
19670405,51.70842,63.754429
19670412,51.404621,63.11903
19670419,52.875031,65.232567
19670426,53.484879,66.035759
19670503,54.766621,66.83902
19670510,54.861851,66.555656
19670517,55.73975,66.456932
19670524,54.888119,64.855324
19670531,53.812801,64.056458
19670607,54.927071,65.37439
19670614,56.702831,66.651428
19670621,57.650982,66.68631
19670628,58.36684,66.191208
19670705,59.185059,66.390137
19670712,60.434761,67.30024
19670719,61.762581,68.212158
19670726,62.11694,68.427856
19670802,63.704021,69.717979
19670809,64.279617,69.83918
19670816,63.40152,68.927292
19670823,63.267342,68.37635
19670830,63.32439,68.14904
19670906,64.457062,69.182037
19670913,65.783096,70.326172
19670920,66.463692,70.426804
19670927,67.246071,70.870949
19671004,68.108459,70.840569
19671011,68.182343,70.757339
19671018,67.927177,69.978928
19671025,66.740601,69.380768
19671101,65.806923,68.170853
19671108,65.092621,67.13958
19671115,64.071274,67.437111
19671122,65.931168,69.008324
19671129,66.91523,69.839577
19671206,68.111992,70.716728
19671213,69.361671,70.832298
19671220,69.88456,70.744499
19671227,71.408569,71.447197
19680103,72.435242,71.339462
19680110,74.19207,72.128349
19680117,76.289627,71.946991
19680124,74.767319,70.138107
19680131,73.842987,69.285469
19680207,73.112846,69.118217
19680214,70.026527,67.502632
19680221,71.679008,68.39859
19680228,70.535316,67.525673
19680306,68.23275,66.563972
19680313,69.848381,67.340782
19680320,68.641724,66.446899
19680327,68.652924,66.865402
19680403,70.882378,69.660156
19680410,72.780289,71.384483
19680417,75.739441,72.580933
19680424,77.351997,72.742882
19680501,79.550957,73.881638
19680508,81.316277,74.822479
19680515,82.718712,74.552116
19680522,83.517227,74.16993
19680529,85.92807,75.028343
19680605,87.992973,76.647591
19680612,90.014473,77.887161
19680619,89.273598,77.267326
19680626,88.137253,76.725021
19680703,90.069366,77.622368
19680710,91.80204,78.806122
19680717,91.5868,78.048737
19680724,87.237671,75.152382
19680731,85.497093,74.450119
19680807,86.251389,74.576729
19680814,87.783836,75.42704
19680821,88.666656,75.955338
19680828,88.893433,75.997787
19680904,89.895508,76.956261
19680911,91.515839,77.459824
19680918,93.091476,78.457512
19680925,94.343674,79.201309
19681002,96.180481,80.07122
19681009,95.629646,79.970161
19681016,97.039658,80.71946
19681023,97.121033,80.694557
19681030,96.319344,80.324471
19681106,95.869873,80.230972
19681113,98.213409,82.000473
19681120,100.191002,82.962807
19681127,102.585999,84.54599
19681204,103.627998,84.660988
19681211,104.993103,84.62838
19681218,105.264603,84.402542
19681225,105.022003,83.200623
19690101,104.646896,82.25222
19690108,99.969048,79.549118
19690115,100.839798,80.213768
19690122,102.735901,80.749641
19690129,104.025002,81.296577
19690205,103.983597,81.708679
19690212,104.271103,82.115479
19690219,99.86673,79.513741
19690226,95.799278,77.552017
19690305,96.524841,78.395592
19690312,95.095551,77.768288
19690319,94.698982,77.814972
19690326,96.093422,78.711288
19690402,96.413353,78.971939
19690409,95.795959,79.087212
19690416,95.334282,78.736061
19690423,94.895813,78.834686
19690430,97.795418,81.237534
19690507,99.63916,82.213882
